"","name","category_list","market","funding_total_usd","status","state_code","region","city","funding_rounds","founded_at","founded_month","founded_quarter","founded_year","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","first_funding_day","first_funding_month","first_funding_year","last_funding_day","last_funding_month","last_funding_year","post_success"
"22622","Sintact Medical Systems, LLC","|Health and Wellness|Health Care|Medical Devices|","Medical Devices",30000,"operating","IN","Indianapolis","Bloomington",1,"23","4","Q2","2013",30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28","8","2014","28","8","2014","0"
"22624","SiO2 Nanotech","|Nanotechnology|","Nanotechnology",25000,"operating","AZ","Phoenix","Tempe",1,"1","3","Q1","2010",25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21","11","2012","21","11","2012","0"
"22626","Sionex","|Hardware + Software|","Hardware + Software",1.2e+07,"closed","MA","Boston","Bedford",1,"1","1","Q1","2001",0,1.2e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2e+07,0,0,0,0,0,"7","12","2005","7","12","2005","0"
"22627","Sionic Mobile","|Software|","Software",1965000,"operating","GA","Atlanta","Atlanta",1,"1","1","Q1","2010",0,1965000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17","5","2011","17","5","2011","0"
"22628","SiOnyx","|Video|Semiconductors|","Video",20150000,"operating","MA","Boston","Beverly",3,"1","1","Q1","2006",750000,19400000,0,0,0,0,0,0,0,0,0,0,0,0,12500000,0,0,0,0,0,0,"23","6","2006","11","4","2012","0"
"22629","Sipera Systems","|Security|","Security",39730000,"acquired","TX","Dallas","Richardson",4,"1","1","Q1","2003",0,39730000,0,0,0,0,0,0,0,0,0,0,0,6300000,13200000,1e+07,10230000,0,0,0,0,"4","2","2005","18","5","2010","1"
"22630","Siperian","|Analytics|","Analytics",2.5e+07,"acquired","CA","SF Bay Area","Foster City",1,"1","1","Q1","2000",0,2.5e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5e+07,0,0,0,"22","1","2008","22","1","2008","1"
"22631","SiphonLabs","|Cloud Computing|Blogging Platforms|Web Hosting|","Web Hosting",860000,"operating","TX","Dallas","Dallas",1,"1","3","Q1","2013",860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","2012","1","1","2012","0"
"22632","SIPP International Industries","|Hospitality|","Hospitality",4200000,"closed","NV","Las Vegas","Las Vegas",1,"17","3","Q1","2011",0,4200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22","12","2011","22","12","2011","0"
"22634","SIPX","|Education|","Education",6400000,"operating","CA","SF Bay Area","Palo Alto",2,"1","1","Q1","2012",0,6400000,0,0,0,0,0,0,0,0,0,0,0,2400000,4e+06,0,0,0,0,0,0,"1","10","2012","1","8","2013","0"
"22638","Siri","|Consumer Electronics|Virtualization|iPhone|Software|","Consumer Electronics",2.4e+07,"acquired","CA","SF Bay Area","San Jose",2,"1","12","Q4","2007",0,2.4e+07,0,0,0,0,0,0,0,0,0,0,0,8500000,15500000,0,0,0,0,0,0,"13","10","2008","24","11","2009","1"
"22639","Sirific Wireless","|Semiconductors|","Semiconductors",18800000,"acquired","TX","Dallas","Richardson",1,"1","1","Q1","2000",0,18800000,0,0,0,0,0,0,0,0,0,0,0,0,0,18800000,0,0,0,0,0,"12","2","2007","12","2","2007","1"
